ntcp2_ipv4,ntcp2_ipv4_port,public_time,version
,0,2023-12-14 13:02:40,0.9.60
,0,2023-12-14 13:02:38,0.9.60
,0,2023-12-14 13:02:36,0.9.60
38.87.162.86,29227,2023-12-14 13:02:36,0.9.60
65.21.84.211,13801,2023-12-14 13:02:36,0.9.60
217.133.59.137,28435,2023-12-14 13:02:36,0.9.60
,0,2023-12-14 13:02:35,0.9.60
,0,2023-12-14 13:02:35,0.9.60
,0,2023-12-14 13:02:35,0.9.60
,0,2023-12-14 13:02:35,0.9.60
109.107.172.136,19722,2023-12-14 13:02:32,0.9.60
,0,2023-12-14 13:02:31,0.9.60
45.147.200.202,34567,2023-12-14 13:02:30,0.9.60
174.56.87.187,9316,2023-12-14 13:02:07,0.9.58
,0,2023-12-14 13:02:06,0.9.58
,0,2023-12-14 13:02:06,0.9.58
,0,2023-12-14 13:02:04,0.9.58
149.28.143.76,9518,2023-12-14 13:02:02,0.9.58
,0,2023-12-14 13:02:02,0.9.58
,0,2023-12-14 13:02:02,0.9.29
,0,2023-12-14 13:02:01,0.9.29
,0,2023-12-14 13:01:49,0.9.57
,0,2023-12-14 13:01:48,0.9.57
5.32.244.97,24889,2023-12-14 13:01:42,0.9.51
174.164.179.57,35478,2023-12-14 13:01:42,0.9.51
,0,2023-12-14 13:01:41,0.9.60
,0,2023-12-14 13:01:40,0.9.60
,0,2023-12-14 13:01:40,0.9.60
5.161.108.85,11043,2023-12-14 13:01:39,0.9.60
,0,2023-12-14 13:01:39,0.9.60
,0,2023-12-14 13:01:39,0.9.50
,0,2023-12-14 13:01:39,0.9.60
109.107.177.54,13151,2023-12-14 13:01:39,0.9.60
,0,2023-12-14 13:01:38,0.9.60
,0,2023-12-14 13:01:38,0.9.60
,0,2023-12-14 13:01:37,0.9.60
,0,2023-12-14 13:01:37,0.9.60
104.171.212.18,18819,2023-12-14 13:01:37,0.9.60
151.24.65.63,18898,2023-12-14 13:01:36,0.9.60
37.24.16.57,49754,2023-12-14 13:01:35,0.9.60
202.61.236.66,58803,2023-12-14 13:01:34,0.9.60
92.63.192.58,1337,2023-12-14 13:01:34,0.9.60
,0,2023-12-14 13:01:34,0.9.53
212.101.16.246,13729,2023-12-14 13:01:33,0.9.60
89.116.227.252,21014,2023-12-14 13:01:33,0.9.60
107.189.6.31,18732,2023-12-14 13:01:30,0.9.60
80.242.85.174,16024,2023-12-14 13:01:06,0.9.58
,0,2023-12-14 13:01:05,0.9.29
,0,2023-12-14 13:01:04,0.9.29
,0,2023-12-14 13:01:03,0.9.29
,0,2023-12-14 13:01:03,0.9.29
,0,2023-12-14 13:01:03,0.9.29
,0,2023-12-14 13:01:00,0.9.29
203.137.123.127,9192,2023-12-14 13:00:58,0.9.58
,0,2023-12-14 13:00:46,0.9.57
188.248.195.153,25928,2023-12-14 13:00:41,0.9.51
84.52.93.26,29371,2023-12-14 13:00:41,0.9.60
194.110.247.42,16169,2023-12-14 13:00:40,0.9.60
96.235.138.154,20727,2023-12-14 13:00:40,0.9.51
,0,2023-12-14 13:00:40,0.9.60
37.46.227.42,9000,2023-12-14 13:00:39,0.9.60
