ip,port,result
193.201.126.50,15561,2
88.119.255.35,11864,1
82.2.206.93,22811,0
149.172.183.19,30562,1
89.179.72.11,28016,2
2.178.11.31,19726,1
76.64.53.45,23154,0
85.253.221.73,14967,1
81.77.160.134,18751,1
60.242.216.86,26994,1
88.201.208.249,18380,2
178.37.200.147,26750,1
176.117.210.192,26006,1
94.157.126.242,35302,1
68.103.47.3,11455,2
188.251.14.50,23697,1
185.150.162.31,15976,2
71.8.81.240,23154,1
140.137.12.140,28938,2
67.171.228.138,12577,1
83.99.211.47,35828,0
180.216.91.120,23154,1
68.11.216.135,26676,2
99.240.163.153,28301,1
158.247.199.233,24631,1
85.195.217.254,10732,2
37.193.103.44,19815,1
90.241.30.149,25369,0
80.85.85.54,23698,2
185.150.162.96,22755,2
86.21.144.89,23154,1
23.137.249.99,2007,2
222.154.146.115,37048,0
92.251.59.251,32419,1
51.146.250.76,31714,1
90.76.131.172,15906,2
94.210.68.58,10607,1
58.168.34.104,36829,1
46.246.80.161,21161,0
83.24.24.234,16458,1
1.122.145.19,36357,1
139.84.143.51,20745,1
194.15.216.99,19513,2
91.38.50.187,8886,1
172.197.9.25,23154,0
212.227.9.137,16241,1
94.16.110.176,13043,1
91.247.128.24,30284,2
92.3.180.46,25324,2
141.148.242.189,16550,1
82.124.218.222,29948,0
99.226.162.51,23154,1
202.61.236.66,39472,2
178.70.79.91,20705,1
107.6.27.36,21417,2
154.61.58.162,23154,1
45.147.231.100,28041,2
184.190.85.93,20329,1
82.25.7.67,30958,1
187.235.144.104,23154,0
107.189.14.138,20569,0
202.65.64.162,20214,1
85.225.34.177,39504,1
109.122.221.180,18034,2
24.212.213.234,13531,2
91.177.253.198,23154,0
188.187.19.63,32408,1
176.226.138.63,24875,1
45.128.27.171,11981,2
107.130.62.114,28217,1
176.193.71.186,4567,2
213.93.172.201,33816,1
95.18.201.170,3531,2
108.61.157.244,22357,1
152.67.65.245,26004,1
146.70.35.164,26723,2
46.116.96.223,15714,0
91.143.92.16,29735,1
108.16.215.51,11874,2
130.245.42.155,27528,1
82.37.43.195,20471,1
98.44.9.190,19802,2
58.161.25.2,36767,1
142.171.76.205,23236,2
81.227.252.107,12345,1
97.102.19.24,26446,0
76.154.93.133,34332,1
155.138.196.200,25300,2
27.253.93.221,36623,1
84.219.213.97,23741,0
106.158.189.184,23154,1
196.221.55.159,27986,1
87.98.186.111,6169,2
152.208.29.108,39520,0
78.105.117.181,37947,1
73.96.126.4,28416,2
110.148.150.245,23473,1
90.0.170.42,23154,1
105.214.94.241,23154,1
173.68.123.78,25043,2
84.186.214.42,11111,1
149.248.50.14,15569,1
37.120.232.42,42142,2
146.70.135.152,13282,2
5.3.160.134,10158,1
68.112.109.64,30873,1
94.242.9.61,21222,1
159.196.97.110,29040,1
83.178.139.233,20015,1
99.224.95.98,26243,0
195.181.12.10,17006,2
46.100.52.67,18174,2
62.66.179.30,31338,1
185.164.163.99,16882,2
139.216.39.188,23154,0
95.244.19.77,17528,1
75.158.66.113,25068,0
65.109.9.135,17419,1
145.239.85.134,21745,0
172.232.53.16,27786,1
142.68.71.143,11831,1
217.218.147.79,12572,2
81.40.58.83,23377,0
188.32.155.214,28911,1
68.226.31.182,18703,2
77.49.127.160,34548,1
1.123.222.18,28697,0
212.101.16.246,15806,2
31.6.179.248,38501,1
188.211.122.51,30497,2
199.192.192.220,25725,1
178.21.164.79,10217,2
45.95.173.108,28773,2
79.173.87.100,4557,2
181.28.82.190,38191,1
86.6.198.170,20819,1
15.235.54.153,20175,2
73.224.133.38,15274,1
146.70.87.173,22442,2
95.84.148.173,28134,2
176.36.208.108,32629,1
87.140.29.152,21314,1
81.131.157.238,30054,1
213.232.255.107,51232,2
104.238.179.231,21039,1
83.253.49.164,34406,1
98.248.60.40,11622,0
88.71.172.182,23154,1
83.10.215.215,38523,0
62.31.241.130,3455,0
141.226.28.42,26312,1
112.78.15.81,15741,0
216.58.72.142,35720,0
193.92.155.81,28613,2
72.128.116.173,37888,1
79.116.158.125,23979,2
88.212.164.83,14666,2
62.108.13.99,29699,1
31.54.92.131,23154,1
89.179.240.133,20081,2
93.124.106.150,9541,1
109.63.166.233,11660,2
31.56.95.158,24024,2
93.95.227.229,18265,2
161.142.229.5,64567,2
47.232.151.145,13090,2
75.30.233.124,9156,1
82.42.127.205,21586,2
31.207.228.172,45679,2
31.56.148.14,14588,2
162.19.3.128,27343,2
96.53.167.29,25545,0
188.211.67.217,14915,2
79.201.150.9,30090,0
5.74.201.207,29357,2
170.64.140.11,15624,1
184.190.223.11,27875,2
205.206.225.197,28241,0
45.44.24.232,34761,1
85.185.56.233,9935,2
77.189.30.243,42666,1
193.124.181.103,12422,1
46.41.150.10,9696,2
2.178.218.7,17848,2
81.226.25.72,11343,1
188.157.134.122,23154,1
89.189.173.41,11781,2
112.104.27.180,10581,0
136.38.25.156,10982,1
212.69.56.39,21262,0
24.45.148.202,23497,1
62.198.19.27,26644,1
2.190.231.31,14439,1
50.5.243.71,27144,2
69.156.34.189,25332,0
193.237.197.194,26762,1
58.182.178.114,29964,1
194.187.207.211,26321,2
76.90.131.12,29873,1
71.231.25.49,12928,0
74.91.27.29,11732,1
142.4.208.115,10197,0
109.177.235.160,29085,0
220.233.92.71,23154,0
82.153.138.92,12440,2
90.94.155.22,37305,1
80.249.116.40,30438,0
94.224.160.109,23154,1
176.193.236.245,5555,1
118.200.109.199,35991,1
89.153.5.57,23154,0
188.155.8.73,20754,1
194.37.81.176,16436,0
31.124.254.44,23433,1
120.148.161.139,30034,2
120.149.91.128,21569,1
70.34.252.191,13362,2
123.253.87.195,26624,1
92.37.206.19,31001,2
46.142.39.154,16619,1
80.31.122.162,9128,2
101.175.98.207,29789,1
77.134.168.136,27783,2
69.176.180.7,23154,0
203.219.194.70,34740,2
98.197.196.20,25181,1
77.246.103.203,11401,2
87.120.8.230,15538,2
37.120.217.74,42142,2
93.157.248.186,11592,2
90.21.42.93,34713,1
219.89.195.60,31563,1
72.68.104.208,17992,2
151.241.137.20,28826,2
212.233.16.218,24333,1
178.253.255.82,24652,0
5.206.95.209,22295,1
51.15.51.30,29574,1
185.177.126.105,10410,2
217.155.42.79,14906,1
2.191.247.69,24355,1
73.75.194.19,30374,2
147.78.245.128,14948,2
130.245.42.144,18560,1
139.180.166.240,30639,1
193.29.104.178,21496,2
142.163.72.4,33757,1
85.234.221.41,11744,2
47.221.114.56,23154,0
193.109.79.205,15726,2
37.195.234.150,16270,1
70.75.107.4,14682,2
45.129.199.211,10387,2
88.99.126.154,27880,2
78.171.150.217,11021,2
91.152.122.33,26185,1
198.48.212.90,27127,1
27.252.194.233,18763,0
95.91.21.83,14385,1
24.20.44.216,20331,1
64.121.51.110,23154,0
24.63.39.50,25614,0
173.164.210.49,26274,1
79.41.129.8,10929,2
180.150.67.110,32752,1
82.25.9.56,23154,1
98.229.87.86,11905,2
95.28.66.16,31915,1
89.219.125.182,20763,0
75.222.154.135,35836,1
91.181.246.126,36212,1
67.167.16.74,24429,2
69.112.48.244,13610,0
90.243.81.51,12336,2
198.167.220.44,23154,1
80.218.180.92,9999,1
185.244.150.78,17466,0
146.90.97.19,24170,1
85.246.45.130,39098,0
153.203.162.2,35259,1
81.95.52.68,27713,1
81.156.189.138,23266,0
86.29.69.145,31098,1
193.118.60.126,38304,0
95.165.139.85,43117,2
115.70.243.115,23295,1
195.201.174.171,27634,2
220.240.188.70,26910,1
93.95.230.78,56064,2
2.176.60.88,30279,1
47.151.187.177,22526,0
94.210.216.185,27824,1
90.169.79.136,20948,2
78.87.240.116,27968,1
